"estado","cidade","lat","lon"
AL,Poxim (Coruripe),-9.82862545,-36.4247335
AL,Poço da Pedra (Arapiraca),-9.755588,-36.6639577
AL,Poço das Trincheiras,-9.304934249999999,-37.2841025
AL,Poço de Baixo (Arapiraca),-9.755588,-36.6639577
AL,Poço de Santana (Arapiraca),-9.755588,-36.6639577
AL,Poção (Arapiraca),-9.755588,-36.6639577
AL,Pão de Açúcar,-9.74940725,-37.4338166
AL,Quebrangulo,-9.3072538,-36.46502515
AL,Retiro (Junqueiro),-9.853429,-36.4580775
AL,Riacho Fundo de Cima (Palmeira dos Índios),-9.406106,-36.6331433
AL,Riacho do Sertão (Major Isidoro),-9.5427189,-37.00452
AL,Riachão (Junqueiro),-10.8260421,-37.91885445
AL,Rio Largo,-9.4958965,-35.83307178
AL,Rio dos Bichos (Arapiraca),-9.755588,-36.6639577
AL,Rocha Cavalcante (União dos Palmares),-7.752966600000001,-36.87858445
AL,Roteiro,-9.834428966666666,-35.978791433333335
AL,Santa Efigênia (Capela),-9.4106241,-36.0810062
AL,Santa Luzia do Norte,-9.6199346,-35.8389026
AL,Santana do Ipanema,-9.371024649999999,-37.244673250000005
AL,Santana do Mundaú,-9.1549585,-36.208653350000006
AL,Santo Antônio (Palmeira dos Índios),-9.406106,-36.6331433
AL,Sapucaia (Arapiraca),-9.755588,-36.6639577
AL,Sapucaia (Atalaia),-9.5381405,-36.1328132
AL,Satuba,-9.57251215,-35.82597515
AL,Senador Rui Palmeira,-9.46849335,-37.457506800000004
AL,Serra da Mandioca (Palmeira dos Índios),-9.406106,-36.6331433
AL,Serra do São José (Palmeira dos Índios),-9.406106,-36.6331433
AL,São Brás,-10.11492525,-36.872244699999996
AL,São José da Laje,-9.00770805,-36.05528615
AL,São José da Tapera,-9.5587719,-37.381459199999995
AL,São Luís do Quitunde,-9.318511425,-35.56200545
AL,São Miguel dos Campos,-10.074486823353292,-36.242028962275455
AL,São Miguel dos Milagres,-9.26859495,-35.374891500000004
AL,Taboleiro do Pinto (Rio Largo),-9.5106567,-35.8122531
AL,Taboquinha (Arapiraca),-9.755588,-36.6639577
AL,Tanque DArca,-9.5474862,-36.42414105
AL,Taquara (Arapiraca),-9.755588,-36.6639577
AL,Taquarana,-9.623589433333334,-36.510783333333336
AL,Tatuamunha (Porto de Pedras),-9.16707675,-35.35610925
AL,Teotônio Vilela,-9.85621466,-36.451045879999995
AL,Traipu,-9.971254550000001,-37.0032262
AL,União dos Palmares,-10.850949733333332,-41.3270256
AL,Usina Camaçari (Coruripe),-10.1250022,-36.1761522
AL,Varginha (Arapiraca),-9.755588,-36.6639577
AL,Vila Aparecida (Arapiraca),-9.755588,-36.6639577
AL,Vila São Francisco (Arapiraca),-9.75599505,-36.6618061
AL,Água Branca,-7.552826866666667,-39.39943673333333
AM,Agrovila São Sebastião do Caburi (Parintins),-2.6375161,-56.741824
AM,Alvarães,-3.4933869499999997,-65.09360805
AM,Amatari (Itacoatiara),-3.3339824,-58.5543821
AM,Amaturá,-11.65787765,-56.160843799999995
AM,Anamã,-3.5468159999999997,-61.59994025
AM,Anori,-3.7712264500000003,-61.6329959
AM,Apuí,-7.2081342,-59.4691051
AM,Araras (Caapiranga),-3.0855539,-61.7941232
AM,Ariaú (Barreirinha),-3.0793652,-57.1915504
AM,Ariaú (Iranduba),-3.1456879,-60.257396
AM,Atalaia do Norte,-4.36526025,-70.19197795
AM,Augusto Montenegro (Urucurituba),-3.0437973,-58.1080933
AM,Autazes,-3.617755025,-59.238509775
AM,Axinim (Borba),-4.6497952,-59.4720904
AM,Badajós (Codajás),-3.8398302,-62.0610928
AM,Balbina (Presidente Figueiredo),-2.2702953,-60.02393705
AM,Barcelos,-0.61866505,-63.06419055
AM,Barreirinha,-12.146898100000001,-53.79858575
AM,Belém de Solimões (Tabatinga),-4.2316306,-69.936928
AM,Benjamin Constant,-4.45119775,-69.99133695
AM,Beruri,-4.2547271,-61.630370850000006
AM,Boa Vista do Ramos,-3.0165835,-57.639416350000005
AM,Boca do Acre,-8.762645299999999,-67.3667853
AM,Borba,-4.51828935,-59.53331215
AM,Caapiranga,-3.2070949,-61.5027751
AM,Cacau Pirêra (Iranduba),-3.2227129999999997,-60.439992950000004
AM,Caiambé (Tefé),-3.1799428,-62.36063525
AM,Cametá (Barreirinha),-2.9608479,-57.302534800000004
AM,Canumã (Borba),-4.6497952,-59.4720904
AM,Canutama,-6.5323115000000005,-64.3857756
AM,Carauari,-4.8797963,-66.90057825
AM,Careiro,-3.6614157333333335,-54.923181166666666
AM,Careiro Parauá (Careiro),-3.8194584,-60.3612267
AM,Careiro da Várzea,-3.19786375,-59.825595899999996
AM,Carvoeiro (Barcelos),-0.2674076,-63.2032151
AM,Coari,-4.09121715,-63.142906100000005
AM,Codajás,-3.8401412500000003,-62.06077655
AM,Cucuí (São Gabriel da Cachoeira),0.87415885,-67.49102425000001
AM,Eirunepé,-6.7543403,-70.05295765
AM,Envira,-7.45686725,-69.9432241
AM,Estirão do Equador (Atalaia do Norte),-4.3670958,-70.190894
